dataset_name,split,category,seq_num,domain_s1,n_s1,s1_1st,s1_tr,normalize,config_file
TSB-M-DRIFT020,M,DRIFT,20,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT020__resnet.yaml
TSB-M-DRIFT021,M,DRIFT,21,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT021__resnet.yaml
TSB-M-DRIFT022,M,DRIFT,22,Medical,8093,518037,50000,per_series,configs\tsb_auto\TSB-M-DRIFT022__resnet.yaml
TSB-M-DRIFT023,M,DRIFT,23,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT023__resnet.yaml
TSB-M-DRIFT024,M,DRIFT,24,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT024__resnet.yaml
TSB-M-DRIFT025,M,DRIFT,25,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT025__resnet.yaml
TSB-M-DRIFT026,M,DRIFT,26,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT026__resnet.yaml
TSB-M-DRIFT027,M,DRIFT,27,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT027__resnet.yaml
TSB-M-DRIFT028,M,DRIFT,28,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT028__resnet.yaml
TSB-M-DRIFT029,M,DRIFT,29,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT029__resnet.yaml
TSB-M-DRIFT030,M,DRIFT,30,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT030__resnet.yaml
TSB-M-DRIFT031,M,DRIFT,31,Medical,477,30595,30495,per_series,configs\tsb_auto\TSB-M-DRIFT031__resnet.yaml
TSB-M-DRIFT032,M,DRIFT,32,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT032__resnet.yaml
TSB-M-DRIFT033,M,DRIFT,33,Medical,815,52255,25000,per_series,configs\tsb_auto\TSB-M-DRIFT033__resnet.yaml
TSB-M-DRIFT034,M,DRIFT,34,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT034__resnet.yaml
TSB-M-DRIFT035,M,DRIFT,35,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT035__resnet.yaml
TSB-M-DRIFT036,M,DRIFT,36,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT036__resnet.yaml
TSB-M-DRIFT038,M,DRIFT,38,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-DRIFT038__resnet.yaml
TSB-M-DRIFT039,M,DRIFT,39,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT039__resnet.yaml
TSB-M-DRIFT040,M,DRIFT,40,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT040__resnet.yaml
TSB-M-DRIFT041,M,DRIFT,41,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT041__resnet.yaml
TSB-M-DRIFT043,M,DRIFT,43,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-DRIFT043__resnet.yaml
TSB-M-DRIFT044,M,DRIFT,44,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT044__resnet.yaml
TSB-M-DRIFT045,M,DRIFT,45,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT045__resnet.yaml
TSB-M-DRIFT046,M,DRIFT,46,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT046__resnet.yaml
TSB-M-DRIFT047,M,DRIFT,47,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT047__resnet.yaml
TSB-M-DRIFT048,M,DRIFT,48,Medical,477,30595,30495,per_series,configs\tsb_auto\TSB-M-DRIFT048__resnet.yaml
TSB-M-DRIFT049,M,DRIFT,49,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT049__resnet.yaml
TSB-M-DRIFT050,M,DRIFT,50,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT050__resnet.yaml
TSB-M-DRIFT051,M,DRIFT,51,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT051__resnet.yaml
TSB-M-DRIFT052,M,DRIFT,52,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT052__resnet.yaml
TSB-M-DRIFT053,M,DRIFT,53,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT053__resnet.yaml
TSB-M-DRIFT054,M,DRIFT,54,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT054__resnet.yaml
TSB-M-DRIFT055,M,DRIFT,55,Medical,815,52255,25000,per_series,configs\tsb_auto\TSB-M-DRIFT055__resnet.yaml
TSB-M-DRIFT056,M,DRIFT,56,Medical,8093,518037,50000,per_series,configs\tsb_auto\TSB-M-DRIFT056__resnet.yaml
TSB-M-DRIFT057,M,DRIFT,57,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-DRIFT057__resnet.yaml
TSB-M-DRIFT058,M,DRIFT,58,Medical,477,30595,30495,per_series,configs\tsb_auto\TSB-M-DRIFT058__resnet.yaml
TSB-M-DRIFT059,M,DRIFT,59,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT059__resnet.yaml
TSB-M-DRIFT060,M,DRIFT,60,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT060__resnet.yaml
TSB-M-DRIFT061,M,DRIFT,61,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT061__resnet.yaml
TSB-M-DRIFT062,M,DRIFT,62,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT062__resnet.yaml
TSB-M-DRIFT063,M,DRIFT,63,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT063__resnet.yaml
TSB-M-DRIFT064,M,DRIFT,64,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT064__resnet.yaml
TSB-M-DRIFT065,M,DRIFT,65,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT065__resnet.yaml
TSB-M-DRIFT066,M,DRIFT,66,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT066__resnet.yaml
TSB-M-DRIFT067,M,DRIFT,67,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT067__resnet.yaml
TSB-M-DRIFT068,M,DRIFT,68,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT068__resnet.yaml
TSB-M-DRIFT069,M,DRIFT,69,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT069__resnet.yaml
TSB-M-DRIFT070,M,DRIFT,70,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT070__resnet.yaml
TSB-M-DRIFT071,M,DRIFT,71,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT071__resnet.yaml
TSB-M-DRIFT072,M,DRIFT,72,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT072__resnet.yaml
TSB-M-DRIFT073,M,DRIFT,73,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT073__resnet.yaml
TSB-M-DRIFT074,M,DRIFT,74,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT074__resnet.yaml
TSB-M-DRIFT075,M,DRIFT,75,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT075__resnet.yaml
TSB-M-DRIFT077,M,DRIFT,77,Medical,815,52255,25000,per_series,configs\tsb_auto\TSB-M-DRIFT077__resnet.yaml
TSB-M-DRIFT078,M,DRIFT,78,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT078__resnet.yaml
TSB-M-DRIFT079,M,DRIFT,79,Medical,477,30595,30495,per_series,configs\tsb_auto\TSB-M-DRIFT079__resnet.yaml
TSB-M-DRIFT080,M,DRIFT,80,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-DRIFT080__resnet.yaml
TSB-M-DRIFT081,M,DRIFT,81,Medical,477,30595,30495,per_series,configs\tsb_auto\TSB-M-DRIFT081__resnet.yaml
TSB-M-DRIFT082,M,DRIFT,82,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT082__resnet.yaml
TSB-M-DRIFT083,M,DRIFT,83,Medical,846,54253,50000,per_series,configs\tsb_auto\TSB-M-DRIFT083__resnet.yaml
TSB-M-DRIFT084,M,DRIFT,84,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT084__resnet.yaml
TSB-M-DRIFT085,M,DRIFT,85,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT085__resnet.yaml
TSB-M-DRIFT086,M,DRIFT,86,Medical,816,52315,50000,per_series,configs\tsb_auto\TSB-M-DRIFT086__resnet.yaml
TSB-M-DRIFT087,M,DRIFT,87,Medical,1240,79433,50000,per_series,configs\tsb_auto\TSB-M-DRIFT087__resnet.yaml
TSB-M-DRIFT088,M,DRIFT,88,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT088__resnet.yaml
TSB-M-DRIFT089,M,DRIFT,89,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-DRIFT089__resnet.yaml
TSB-M-DRIFT090,M,DRIFT,90,Medical,8093,518037,50000,per_series,configs\tsb_auto\TSB-M-DRIFT090__resnet.yaml
TSB-M-DRIFT091,M,DRIFT,91,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT091__resnet.yaml
TSB-M-DRIFT092,M,DRIFT,92,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT092__resnet.yaml
TSB-M-DRIFT093,M,DRIFT,93,Medical,815,52255,25000,per_series,configs\tsb_auto\TSB-M-DRIFT093__resnet.yaml
TSB-M-DRIFT094,M,DRIFT,94,Medical,57,3718,3618,per_series,configs\tsb_auto\TSB-M-DRIFT094__resnet.yaml
TSB-M-DRIFT095,M,DRIFT,95,Medical,907,58118,50000,per_series,configs\tsb_auto\TSB-M-DRIFT095__resnet.yaml
TSB-M-DRIFT096,M,DRIFT,96,Medical,242,15602,15502,per_series,configs\tsb_auto\TSB-M-DRIFT096__resnet.yaml
TSB-M-DRIFT097,M,DRIFT,97,Medical,1320,84572,50000,per_series,configs\tsb_auto\TSB-M-DRIFT097__resnet.yaml
TSB-M-DRIFT099,M,DRIFT,99,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-DRIFT099__resnet.yaml
TSB-M-DRIFT100,M,DRIFT,100,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-DRIFT100__resnet.yaml
TSB-M-OOD001,M,OOD,1,Sensor,1048,67147,50000,global,configs\tsb_auto\TSB-M-OOD001__resnet.yaml
TSB-M-OOD002,M,OOD,2,Sensor,241,15538,4055,global,configs\tsb_auto\TSB-M-OOD002__resnet.yaml
TSB-M-OOD003,M,OOD,3,Sensor,2405,154001,50000,global,configs\tsb_auto\TSB-M-OOD003__resnet.yaml
TSB-M-OOD004,M,OOD,4,Sensor,2443,156462,50000,global,configs\tsb_auto\TSB-M-OOD004__resnet.yaml
TSB-M-OOD005,M,OOD,5,Sensor,1328,85076,50000,global,configs\tsb_auto\TSB-M-OOD005__resnet.yaml
TSB-M-OOD006,M,OOD,6,Sensor,1561,100001,50000,global,configs\tsb_auto\TSB-M-OOD006__resnet.yaml
TSB-M-OOD007,M,OOD,7,Sensor,1048,67147,50000,global,configs\tsb_auto\TSB-M-OOD007__resnet.yaml
TSB-M-OOD008,M,OOD,8,Sensor,1405,90001,50000,global,configs\tsb_auto\TSB-M-OOD008__resnet.yaml
TSB-M-OOD010,M,OOD,10,HumanActivity,322,20732,9693,per_series,configs\tsb_auto\TSB-M-OOD010__resnet.yaml
TSB-M-OOD011,M,OOD,11,Sensor,241,15538,4055,global,configs\tsb_auto\TSB-M-OOD011__resnet.yaml
TSB-M-OOD012,M,OOD,12,Sensor,1014,65001,50000,global,configs\tsb_auto\TSB-M-OOD012__resnet.yaml
TSB-M-OOD013,M,OOD,13,Sensor,1048,67147,50000,global,configs\tsb_auto\TSB-M-OOD013__resnet.yaml
TSB-M-OOD014,M,OOD,14,Sensor,1249,80001,50000,global,configs\tsb_auto\TSB-M-OOD014__resnet.yaml
TSB-M-OOD015,M,OOD,15,Sensor,2443,156462,50000,global,configs\tsb_auto\TSB-M-OOD015__resnet.yaml
TSB-M-OOD016,M,OOD,16,Sensor,1172,75110,50000,global,configs\tsb_auto\TSB-M-OOD016__resnet.yaml
TSB-M-OOD017,M,OOD,17,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD017__resnet.yaml
TSB-M-OOD018,M,OOD,18,Sensor,2405,154001,50000,global,configs\tsb_auto\TSB-M-OOD018__resnet.yaml
TSB-M-OOD019,M,OOD,19,Sensor,1048,67147,50000,global,configs\tsb_auto\TSB-M-OOD019__resnet.yaml
TSB-M-OOD020,M,OOD,20,Sensor,2108,135001,50000,global,configs\tsb_auto\TSB-M-OOD020__resnet.yaml
TSB-M-OOD021,M,OOD,21,Sensor,1530,98001,50000,global,configs\tsb_auto\TSB-M-OOD021__resnet.yaml
TSB-M-OOD022,M,OOD,22,Sensor,2108,135001,50000,global,configs\tsb_auto\TSB-M-OOD022__resnet.yaml
TSB-M-OOD023,M,OOD,23,Sensor,2405,154001,50000,global,configs\tsb_auto\TSB-M-OOD023__resnet.yaml
TSB-M-OOD024,M,OOD,24,Sensor,2264,145001,50000,global,configs\tsb_auto\TSB-M-OOD024__resnet.yaml
TSB-M-OOD025,M,OOD,25,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD025__resnet.yaml
TSB-M-OOD026,M,OOD,26,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD026__resnet.yaml
TSB-M-OOD027,M,OOD,27,Sensor,858,55001,43750,global,configs\tsb_auto\TSB-M-OOD027__resnet.yaml
TSB-M-OOD028,M,OOD,28,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD028__resnet.yaml
TSB-M-OOD030,M,OOD,30,Sensor,241,15538,4055,global,configs\tsb_auto\TSB-M-OOD030__resnet.yaml
TSB-M-OOD031,M,OOD,31,Sensor,1648,105568,50000,global,configs\tsb_auto\TSB-M-OOD031__resnet.yaml
TSB-M-OOD032,M,OOD,32,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD032__resnet.yaml
TSB-M-OOD033,M,OOD,33,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-OOD033__resnet.yaml
TSB-M-OOD034,M,OOD,34,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD034__resnet.yaml
TSB-M-OOD035,M,OOD,35,Sensor,2264,145001,50000,global,configs\tsb_auto\TSB-M-OOD035__resnet.yaml
TSB-M-OOD036,M,OOD,36,Sensor,889,57001,50000,global,configs\tsb_auto\TSB-M-OOD036__resnet.yaml
TSB-M-OOD038,M,OOD,38,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-OOD038__resnet.yaml
TSB-M-OOD039,M,OOD,39,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD039__resnet.yaml
TSB-M-OOD042,M,OOD,42,Sensor,795,51001,50000,global,configs\tsb_auto\TSB-M-OOD042__resnet.yaml
TSB-M-OOD043,M,OOD,43,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD043__resnet.yaml
TSB-M-OOD044,M,OOD,44,Sensor,2342,150001,50000,global,configs\tsb_auto\TSB-M-OOD044__resnet.yaml
TSB-M-OOD045,M,OOD,45,Sensor,1014,65001,50000,global,configs\tsb_auto\TSB-M-OOD045__resnet.yaml
TSB-M-OOD046,M,OOD,46,Sensor,2342,150001,50000,global,configs\tsb_auto\TSB-M-OOD046__resnet.yaml
TSB-M-OOD047,M,OOD,47,Sensor,889,57001,50000,global,configs\tsb_auto\TSB-M-OOD047__resnet.yaml
TSB-M-OOD048,M,OOD,48,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD048__resnet.yaml
TSB-M-OOD049,M,OOD,49,Sensor,1561,100001,50000,global,configs\tsb_auto\TSB-M-OOD049__resnet.yaml
TSB-M-OOD050,M,OOD,50,Sensor,241,15538,4055,global,configs\tsb_auto\TSB-M-OOD050__resnet.yaml
TSB-M-OOD051,M,OOD,51,Sensor,1328,85076,50000,global,configs\tsb_auto\TSB-M-OOD051__resnet.yaml
TSB-M-OOD052,M,OOD,52,Sensor,1202,77001,50000,global,configs\tsb_auto\TSB-M-OOD052__resnet.yaml
TSB-M-OOD053,M,OOD,53,Sensor,795,51001,50000,global,configs\tsb_auto\TSB-M-OOD053__resnet.yaml
TSB-M-OOD054,M,OOD,54,Sensor,1844,118124,50000,global,configs\tsb_auto\TSB-M-OOD054__resnet.yaml
TSB-M-OOD055,M,OOD,55,Sensor,1014,65001,50000,global,configs\tsb_auto\TSB-M-OOD055__resnet.yaml
TSB-M-OOD056,M,OOD,56,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD056__resnet.yaml
TSB-M-OOD057,M,OOD,57,Sensor,983,63030,50000,global,configs\tsb_auto\TSB-M-OOD057__resnet.yaml
TSB-M-OOD058,M,OOD,58,Sensor,1172,75110,50000,global,configs\tsb_auto\TSB-M-OOD058__resnet.yaml
TSB-M-OOD059,M,OOD,59,Sensor,2342,150001,50000,global,configs\tsb_auto\TSB-M-OOD059__resnet.yaml
TSB-M-OOD060,M,OOD,60,Sensor,858,55001,43750,global,configs\tsb_auto\TSB-M-OOD060__resnet.yaml
TSB-M-OOD061,M,OOD,61,Sensor,1405,90001,50000,global,configs\tsb_auto\TSB-M-OOD061__resnet.yaml
TSB-M-OOD062,M,OOD,62,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD062__resnet.yaml
TSB-M-OOD063,M,OOD,63,Sensor,1974,126448,50000,global,configs\tsb_auto\TSB-M-OOD063__resnet.yaml
TSB-M-OOD064,M,OOD,64,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD064__resnet.yaml
TSB-M-OOD065,M,OOD,65,Sensor,1172,75110,50000,global,configs\tsb_auto\TSB-M-OOD065__resnet.yaml
TSB-M-OOD066,M,OOD,66,Sensor,1530,98001,50000,global,configs\tsb_auto\TSB-M-OOD066__resnet.yaml
TSB-M-OOD068,M,OOD,68,Sensor,2108,135001,50000,global,configs\tsb_auto\TSB-M-OOD068__resnet.yaml
TSB-M-OOD069,M,OOD,69,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD069__resnet.yaml
TSB-M-OOD070,M,OOD,70,Sensor,1648,105568,50000,global,configs\tsb_auto\TSB-M-OOD070__resnet.yaml
TSB-M-OOD071,M,OOD,71,Sensor,1974,126448,50000,global,configs\tsb_auto\TSB-M-OOD071__resnet.yaml
TSB-M-OOD072,M,OOD,72,Sensor,1172,75110,50000,global,configs\tsb_auto\TSB-M-OOD072__resnet.yaml
TSB-M-OOD074,M,OOD,74,Sensor,2342,150001,50000,global,configs\tsb_auto\TSB-M-OOD074__resnet.yaml
TSB-M-OOD075,M,OOD,75,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD075__resnet.yaml
TSB-M-OOD076,M,OOD,76,Sensor,1844,118124,50000,global,configs\tsb_auto\TSB-M-OOD076__resnet.yaml
TSB-M-OOD077,M,OOD,77,Sensor,889,57001,50000,global,configs\tsb_auto\TSB-M-OOD077__resnet.yaml
TSB-M-OOD078,M,OOD,78,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-OOD078__resnet.yaml
TSB-M-OOD079,M,OOD,79,Sensor,2108,135001,50000,global,configs\tsb_auto\TSB-M-OOD079__resnet.yaml
TSB-M-OOD080,M,OOD,80,Sensor,1844,118124,50000,global,configs\tsb_auto\TSB-M-OOD080__resnet.yaml
TSB-M-OOD081,M,OOD,81,Sensor,889,57001,50000,global,configs\tsb_auto\TSB-M-OOD081__resnet.yaml
TSB-M-OOD082,M,OOD,82,Sensor,241,15538,4055,global,configs\tsb_auto\TSB-M-OOD082__resnet.yaml
TSB-M-OOD083,M,OOD,83,Sensor,983,63030,50000,global,configs\tsb_auto\TSB-M-OOD083__resnet.yaml
TSB-M-OOD084,M,OOD,84,Sensor,983,63030,50000,global,configs\tsb_auto\TSB-M-OOD084__resnet.yaml
TSB-M-OOD085,M,OOD,85,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD085__resnet.yaml
TSB-M-OOD086,M,OOD,86,Sensor,1561,100001,50000,global,configs\tsb_auto\TSB-M-OOD086__resnet.yaml
TSB-M-OOD087,M,OOD,87,Sensor,1202,77001,50000,global,configs\tsb_auto\TSB-M-OOD087__resnet.yaml
TSB-M-OOD088,M,OOD,88,Sensor,1530,98001,50000,global,configs\tsb_auto\TSB-M-OOD088__resnet.yaml
TSB-M-OOD089,M,OOD,89,Sensor,624,40038,39938,global,configs\tsb_auto\TSB-M-OOD089__resnet.yaml
TSB-M-OOD090,M,OOD,90,Sensor,1530,98001,50000,global,configs\tsb_auto\TSB-M-OOD090__resnet.yaml
TSB-M-OOD091,M,OOD,91,Sensor,858,55001,43750,global,configs\tsb_auto\TSB-M-OOD091__resnet.yaml
TSB-M-OOD092,M,OOD,92,Sensor,1328,85076,50000,global,configs\tsb_auto\TSB-M-OOD092__resnet.yaml
TSB-M-OOD093,M,OOD,93,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD093__resnet.yaml
TSB-M-OOD094,M,OOD,94,Sensor,1202,77001,50000,global,configs\tsb_auto\TSB-M-OOD094__resnet.yaml
TSB-M-OOD095,M,OOD,95,Sensor,795,51001,50000,global,configs\tsb_auto\TSB-M-OOD095__resnet.yaml
TSB-M-OOD096,M,OOD,96,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD096__resnet.yaml
TSB-M-OOD097,M,OOD,97,Facility,2028,129872,50000,global,configs\tsb_auto\TSB-M-OOD097__resnet.yaml
TSB-M-OOD098,M,OOD,98,Sensor,1328,85076,50000,global,configs\tsb_auto\TSB-M-OOD098__resnet.yaml
TSB-M-OOD099,M,OOD,99,Sensor,241,15538,4055,global,configs\tsb_auto\TSB-M-OOD099__resnet.yaml
TSB-M-OOD100,M,OOD,100,Sensor,2264,145001,50000,global,configs\tsb_auto\TSB-M-OOD100__resnet.yaml
TSB-M-STABLE002,M,STABLE,2,Sensor,1048,67147,50000,global,configs\tsb_auto\TSB-M-STABLE002__resnet.yaml
TSB-M-STABLE003,M,STABLE,3,Sensor,54,3550,980,global,configs\tsb_auto\TSB-M-STABLE003__resnet.yaml
TSB-M-STABLE006,M,STABLE,6,Facility,164,10609,7176,global,configs\tsb_auto\TSB-M-STABLE006__resnet.yaml
TSB-M-STABLE007,M,STABLE,7,Sensor,983,63030,50000,global,configs\tsb_auto\TSB-M-STABLE007__resnet.yaml
TSB-M-STABLE008,M,STABLE,8,Sensor,1405,90001,50000,global,configs\tsb_auto\TSB-M-STABLE008__resnet.yaml
TSB-M-STABLE009,M,STABLE,9,Facility,209,13482,11663,global,configs\tsb_auto\TSB-M-STABLE009__resnet.yaml
TSB-M-STABLE010,M,STABLE,10,Sensor,77,5000,2128,global,configs\tsb_auto\TSB-M-STABLE010__resnet.yaml
TSB-M-STABLE011,M,STABLE,11,Sensor,795,51001,50000,global,configs\tsb_auto\TSB-M-STABLE011__resnet.yaml
TSB-M-STABLE012,M,STABLE,12,Sensor,86,5600,2073,global,configs\tsb_auto\TSB-M-STABLE012__resnet.yaml
TSB-M-STABLE016,M,STABLE,16,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-STABLE016__resnet.yaml
TSB-M-STABLE018,M,STABLE,18,Facility,235,15144,7176,global,configs\tsb_auto\TSB-M-STABLE018__resnet.yaml
TSB-M-STABLE020,M,STABLE,20,Sensor,61,4030,1840,global,configs\tsb_auto\TSB-M-STABLE020__resnet.yaml
TSB-M-STABLE021,M,STABLE,21,Sensor,54,3550,980,global,configs\tsb_auto\TSB-M-STABLE021__resnet.yaml
TSB-M-STABLE022,M,STABLE,22,Sensor,78,5060,2011,global,configs\tsb_auto\TSB-M-STABLE022__resnet.yaml
TSB-M-STABLE023,M,STABLE,23,Facility,71,4629,4529,global,configs\tsb_auto\TSB-M-STABLE023__resnet.yaml
TSB-M-STABLE024,M,STABLE,24,Sensor,72,4690,1908,global,configs\tsb_auto\TSB-M-STABLE024__resnet.yaml
TSB-M-STABLE027,M,STABLE,27,Medical,1676,107354,50000,per_series,configs\tsb_auto\TSB-M-STABLE027__resnet.yaml
TSB-M-STABLE028,M,STABLE,28,Sensor,86,5600,2073,global,configs\tsb_auto\TSB-M-STABLE028__resnet.yaml
TSB-M-STABLE031,M,STABLE,31,Sensor,624,40038,39938,global,configs\tsb_auto\TSB-M-STABLE031__resnet.yaml
TSB-M-STABLE034,M,STABLE,34,Sensor,2342,150001,50000,global,configs\tsb_auto\TSB-M-STABLE034__resnet.yaml
